Engine Size,Fuel Type,Vehicle Weight,Number of Cylinders,Fuel Consumption
1.4,Diesel,1970,8,12.9
3.4,Diesel,1601,4,11.6
3.0,Petrol,1150,4,11.3
2.6,Diesel,2191,4,12.0
4.4,Diesel,2206,6,7.4
4.0,Petrol,2479,6,5.6
3.8,Diesel,1386,8,9.2
1.9,Petrol,2497,4,10.8
1.2,Petrol,1864,4,13.5
1.0,Petrol,2290,4,13.0
2.6,Diesel,1468,8,11.5
4.0,Petrol,843,6,8.9
1.5,Diesel,2168,8,12.3
1.9,Petrol,2397,4,11.0
2.2,Petrol,805,4,13.6
4.0,Diesel,1780,8,8.0
2.1,Petrol,2294,6,9.8
4.7,Petrol,1436,6,6.3
3.0,Diesel,1086,6,12.4
1.3,Petrol,1693,8,11.6
2.7,Diesel,1476,4,13.2
1.4,Diesel,1754,8,13.3
2.7,Petrol,2003,4,10.2
4.3,Petrol,1417,6,7.2
2.4,Petrol,913,8,11.0
1.5,Diesel,921,8,14.8
1.2,Diesel,1755,8,13.7
3.2,Petrol,1199,8,8.8
2.5,Petrol,2459,6,8.7
3.4,Diesel,1497,8,9.8
3.3,Petrol,2219,4,8.6
1.9,Petrol,1051,4,13.7
4.3,Diesel,1299,6,9.4
2.2,Petrol,1913,6,10.4
3.6,Petrol,2305,4,7.8
4.9,Diesel,2188,8,5.4
4.7,Petrol,2256,8,5.0
2.6,Diesel,1348,4,13.7
1.5,Diesel,1085,8,14.4
1.8,Petrol,2116,4,11.8
1.7,Petrol,1821,4,12.6
4.5,Diesel,1308,8,8.0
1.4,Petrol,1850,6,12.1
2.6,Diesel,1631,8,11.1
1.8,Petrol,2261,8,9.5
2.0,Diesel,1522,6,13.6
1.8,Diesel,979,8,14.0
4.7,Diesel,2131,4,7.9
1.8,Petrol,2197,8,9.6
3.5,Petrol,1909,8,6.8
1.3,Petrol,1803,8,11.4
2.2,Diesel,1378,6,13.4
3.3,Petrol,2205,8,6.6
1.0,Petrol,2437,8,10.7
2.2,Diesel,992,6,14.2
3.8,Petrol,1121,8,7.8
1.1,Petrol,2490,8,10.4
1.2,Petrol,1204,8,12.8
1.4,Petrol,1327,4,14.1
1.7,Diesel,1594,8,13.0
1.5,Diesel,2458,4,13.7
1.0,Diesel,924,8,15.8
4.6,Diesel,1485,8,7.4
1.4,Diesel,2020,8,12.8
3.6,Diesel,2154,6,9.1
2.9,Diesel,917,8,12.0
2.0,Diesel,2451,4,12.7
3.6,Diesel,1580,6,10.2
4.8,Petrol,1866,6,5.3
1.3,Petrol,2152,8,10.7
4.2,Petrol,1999,8,5.2
3.5,Petrol,1844,8,6.9
4.1,Diesel,2274,4,8.9
1.9,Diesel,1665,8,12.5
4.0,Diesel,869,4,11.9
4.2,Petrol,1371,4,8.5
1.1,Petrol,1255,8,12.9
2.9,Petrol,2361,8,7.1
4.6,Diesel,1320,6,8.8
4.2,Diesel,1300,4,10.6
2.7,Petrol,1665,6,9.9
2.8,Petrol,2103,6,8.8
4.1,Diesel,2347,8,6.7
3.1,Petrol,1411,8,8.6
3.7,Petrol,1445,8,7.3
4.2,Petrol,977,8,7.2
3.3,Petrol,1994,6,8.0
4.9,Petrol,1653,4,6.5
1.8,Petrol,1873,4,12.3
1.8,Diesel,1223,4,15.6
2.2,Petrol,2118,8,9.0
2.2,Petrol,1989,8,9.2
1.4,Petrol,1127,8,12.5
3.1,Petrol,1591,8,8.2
3.0,Diesel,1547,8,10.5
1.5,Petrol,1218,8,12.2
4.1,Petrol,1245,8,6.9
4.4,Petrol,1203,8,6.4
2.8,Petrol,2004,6,9.0
3.3,Petrol,1081,4,10.8
2.2,Diesel,2092,8,11.0
1.2,Diesel,2413,8,12.4
1.9,Petrol,1439,4,12.9
2.9,Diesel,2113,8,9.6
4.9,Diesel,1634,8,6.5
1.9,Petrol,1110,8,11.6
3.2,Petrol,1684,8,7.8
4.0,Diesel,2192,6,8.2
1.5,Diesel,2009,8,12.6
1.7,Petrol,2267,4,11.7
2.7,Diesel,1948,6,11.3
4.5,Diesel,2097,6,7.4
4.5,Petrol,1018,4,8.6
3.7,Petrol,1710,8,6.8
2.2,Diesel,2233,4,12.7
3.0,Diesel,2485,6,9.6
2.0,Petrol,1701,4,12.2
1.6,Diesel,1233,4,15.9
2.6,Petrol,1018,4,12.4
1.6,Diesel,1239,6,14.9
4.1,Diesel,1527,8,8.3
4.3,Diesel,1340,6,9.3
3.1,Petrol,2210,6,8.0
3.8,Diesel,1776,4,10.4
4.3,Petrol,1167,8,6.7
4.5,Diesel,1636,6,8.3
2.4,Petrol,978,6,11.8
4.3,Diesel,1567,8,7.9
2.6,Petrol,870,8,10.7
2.0,Petrol,1995,8,9.6
1.0,Petrol,1718,6,13.2
3.3,Petrol,1812,4,9.4
1.9,Petrol,1660,4,12.5
3.4,Diesel,929,4,12.9
3.6,Diesel,1202,6,11.0
2.8,Petrol,1933,8,8.1
1.4,Petrol,1466,6,12.9
2.8,Petrol,928,8,10.1
3.6,Petrol,2191,8,6.0
3.4,Diesel,1044,6,11.7
3.5,Diesel,2076,4,10.4
3.9,Petrol,1712,8,6.4
1.8,Diesel,2298,8,11.4
2.5,Diesel,1894,6,11.8
1.8,Diesel,1225,8,13.5
4.5,Petrol,1671,4,7.3
2.9,Petrol,2471,6,7.9
3.9,Petrol,2299,6,6.2
1.0,Petrol,2120,6,12.4
2.7,Diesel,1193,4,13.8
4.1,Diesel,1510,8,8.4
2.1,Diesel,853,6,14.7
3.2,Petrol,1040,8,9.1
1.4,Petrol,2050,6,11.7
3.7,Petrol,1299,8,7.6
3.4,Petrol,2408,4,8.0
3.2,Diesel,2244,8,8.7
3.6,Petrol,2366,6,6.7
1.6,Petrol,938,6,13.5
2.9,Petrol,2158,4,9.5
4.5,Petrol,2080,4,6.4
2.2,Petrol,1848,4,11.5
2.3,Diesel,1871,6,12.3
3.3,Diesel,1638,4,11.7
2.3,Diesel,1253,6,13.5
2.3,Diesel,837,8,13.3
3.5,Diesel,1473,6,10.7
4.6,Diesel,1193,4,10.0
2.8,Diesel,1217,6,12.6
4.0,Petrol,2201,6,6.2
3.2,Diesel,1812,4,11.6
2.4,Diesel,872,6,14.1
3.2,Petrol,1979,8,7.2
2.1,Petrol,971,8,11.5
5.0,Diesel,2296,4,7.0
4.1,Diesel,2152,4,9.1
2.3,Petrol,1625,8,9.8
4.5,Petrol,1891,4,6.8
1.8,Petrol,828,8,12.3
1.9,Petrol,1098,4,13.6
2.5,Diesel,1019,6,13.6
4.5,Diesel,1172,6,9.3
4.6,Diesel,2081,8,6.2
1.9,Diesel,2073,8,11.7
1.1,Diesel,1940,8,13.5
2.3,Petrol,1200,8,10.6
2.5,Diesel,1282,8,12.0
3.8,Diesel,953,4,12.1
2.2,Diesel,2172,4,12.9
4.6,Diesel,1566,8,7.3
2.2,Diesel,1387,6,13.4
3.2,Petrol,2066,4,9.1
2.3,Petrol,1874,6,10.3
2.7,Diesel,1759,8,10.7
2.6,Petrol,1383,4,11.6
1.5,Diesel,1166,8,14.3
4.4,Diesel,1781,4,9.2
3.0,Petrol,1366,4,10.9
4.9,Petrol,1479,4,6.8
3.2,Diesel,1018,6,12.2
2.8,Petrol,2363,6,8.3
4.6,Petrol,1762,4,6.9
2.3,Diesel,1963,6,12.1
1.6,Diesel,1085,8,14.2
2.7,Diesel,2439,6,10.3
4.1,Petrol,1073,6,8.3
2.8,Petrol,2136,4,9.7
4.0,Petrol,1560,6,7.5
2.8,Diesel,1026,4,13.9
4.5,Diesel,1373,8,7.9
3.7,Diesel,1621,4,11.0
2.3,Petrol,1627,4,11.7
2.7,Petrol,2140,4,9.9
2.4,Diesel,2355,6,11.1
1.1,Petrol,1757,4,13.9
3.0,Petrol,1395,6,9.8
3.5,Diesel,2293,4,10.0
1.5,Diesel,1557,4,15.5
4.4,Petrol,1248,4,8.3
3.9,Petrol,1153,8,7.5
1.3,Diesel,1824,4,15.4
2.2,Petrol,1850,4,11.5
1.3,Diesel,1816,8,13.4
3.0,Petrol,843,6,10.9
4.2,Diesel,2359,4,8.5
2.7,Diesel,2489,6,10.2
1.6,Petrol,909,4,14.6
4.8,Diesel,2428,4,7.1
2.0,Petrol,2324,8,9.0
3.1,Diesel,1038,8,11.3
2.4,Diesel,2434,6,10.9
3.5,Diesel,1899,8,8.8
2.9,Petrol,1025,4,11.8
3.6,Diesel,2434,8,7.5
3.4,Diesel,1928,8,8.9
1.6,Diesel,2151,8,12.1
1.6,Diesel,2167,8,12.1
3.3,Petrol,1736,8,7.5
4.9,Diesel,1031,8,7.7
1.2,Petrol,2224,6,11.8
1.5,Diesel,1808,8,13.0
4.7,Diesel,1661,6,7.9
1.1,Diesel,1756,6,14.9
4.7,Petrol,2265,4,5.7
4.7,Petrol,2308,8,5.0
2.8,Diesel,2197,4,11.6
3.9,Diesel,2094,6,8.6
4.8,Diesel,1592,4,8.8
3.2,Petrol,1072,6,10.1
4.2,Diesel,2261,8,6.7
2.8,Diesel,1340,4,13.3
2.6,Petrol,1877,8,8.6
2.7,Diesel,2360,8,9.5
4.2,Diesel,1618,8,8.0
2.8,Diesel,1305,6,12.4
4.8,Diesel,1754,4,8.5
1.1,Petrol,1763,4,13.9
3.3,Diesel,2030,4,10.9
4.2,Diesel,1192,6,9.8
3.3,Diesel,2077,6,9.8
1.7,Petrol,1133,8,11.9
2.8,Diesel,1965,4,12.1
2.8,Petrol,867,6,11.3
1.7,Diesel,2290,4,13.6
3.8,Diesel,2238,6,8.5
1.2,Petrol,1112,4,15.0
4.5,Diesel,2207,8,6.2
3.4,Diesel,1487,8,9.8
1.1,Petrol,1313,6,13.8
4.9,Diesel,1287,4,9.2
2.9,Diesel,2468,4,10.9
1.8,Diesel,2383,6,12.2
2.1,Petrol,2082,4,11.2
2.8,Diesel,2428,6,10.1
3.3,Diesel,1378,8,10.2
1.8,Petrol,1975,6,11.0
4.8,Petrol,2196,6,5.0
1.9,Petrol,810,6,13.2
3.8,Diesel,937,6,11.1
1.7,Diesel,1374,6,14.5
4.1,Diesel,1538,8,8.3
1.5,Petrol,1644,4,13.3
4.6,Diesel,1487,8,7.4
2.0,Diesel,2002,6,12.6
4.2,Diesel,1487,4,10.2
2.5,Diesel,1284,8,12.0
3.2,Petrol,1463,6,9.3
2.5,Petrol,1710,4,11.2
2.4,Diesel,1939,6,11.9
3.7,Diesel,1268,8,9.7
4.3,Petrol,1787,6,6.4
3.1,Diesel,979,4,13.4
1.1,Diesel,2142,8,13.1
1.9,Petrol,1873,8,10.1
3.2,Diesel,1111,4,13.0
4.3,Petrol,1300,8,6.4
2.4,Diesel,1555,8,11.7
3.6,Diesel,1456,8,9.5
1.3,Petrol,890,8,13.2
1.1,Petrol,1740,6,12.9
2.6,Petrol,2073,4,10.3
2.6,Diesel,1078,6,13.2
3.6,Diesel,1027,8,10.3
3.3,Petrol,1129,8,8.7
4.6,Diesel,2348,4,7.7
5.0,Petrol,1050,8,5.5
4.3,Diesel,2449,6,7.1
3.6,Petrol,1199,6,9.0
3.5,Diesel,1250,6,11.1
1.6,Diesel,1395,8,13.6
1.2,Diesel,1286,6,15.6
1.3,Petrol,2410,8,10.2
3.4,Diesel,1343,6,11.1
3.4,Petrol,2236,6,7.3
3.6,Diesel,2056,4,10.3
3.0,Diesel,944,8,11.7
3.0,Diesel,1912,8,9.8
2.3,Diesel,1978,6,12.0
3.9,Petrol,2232,6,6.3
3.0,Diesel,1481,8,10.6
4.5,Diesel,2240,8,6.1
1.4,Diesel,1981,6,13.8
2.7,Petrol,2048,6,9.1
4.8,Diesel,2020,8,6.0
3.3,Petrol,1624,4,9.8
2.9,Petrol,1554,8,8.7
1.7,Petrol,1597,6,12.0
3.8,Diesel,2062,8,7.9
2.6,Petrol,1626,6,10.1
1.6,Diesel,1090,6,15.2
3.8,Diesel,2146,6,8.7
4.1,Petrol,1948,4,7.5
4.8,Petrol,1019,4,8.0
1.9,Diesel,1784,4,14.2
4.4,Diesel,1595,6,8.6
2.4,Petrol,2105,8,8.6
1.5,Diesel,816,8,15.0
1.4,Diesel,1427,4,15.9
4.6,Diesel,1313,4,9.8
1.7,Petrol,1120,6,13.0
1.1,Diesel,1785,8,13.8
4.3,Petrol,2314,8,5.0
3.0,Petrol,1431,8,8.7
3.9,Diesel,1490,4,10.8
4.8,Petrol,1049,4,7.9
3.0,Petrol,2377,8,6.8
2.6,Petrol,2499,6,8.4
2.4,Diesel,1930,4,12.9
3.2,Petrol,2231,8,6.7
1.2,Diesel,1537,8,14.1
4.6,Petrol,1061,4,8.3
4.3,Diesel,1827,6,8.3
4.4,Petrol,1754,8,5.3
3.4,Petrol,1701,8,7.4
4.4,Petrol,2322,4,6.2
4.8,Diesel,1298,8,7.4
3.0,Diesel,1261,8,11.1
1.5,Petrol,828,4,14.9
4.8,Petrol,2441,6,5.0
1.1,Petrol,1721,6,13.0
4.2,Petrol,911,8,7.4
